Control ID,Control Name,Skill Name,Syncfusion Control Name,Keywords
1,DataGrid,syncfusion-winui-datagrid,SfDataGrid,"datagrid, data grid, table, data table, tabular data, sorting, filtering, grouping, editing, crud operations, paging, export, master-details, hierarchical, real-time updates, virtualization"
2,TreeGrid,syncfusion-winui-treegrid,SfTreeGrid,"treegrid, tree grid, hierarchical data, expandable rows, organizational chart, nested data, parent-child relationships, aggregation, sorting, filtering, editing"
3,Barcode,syncfusion-winui-barcode,SfBarcode,"barcode, qr code, code39, code128, code11, datamatrix, upc, ean, product labeling, encoding, alphanumeric, numeric, industrial labeling"
4,RadialGauge,syncfusion-winui-radial-gauge,SfRadialGauge,"radial gauge, gauge, speedometer, dashboard, kpi, ranges, pointers, needles, interactive dragging, animations, real-time monitoring"
5,LinearGauge,syncfusion-winui-linear-gauge,SfLinearGauge,"linear gauge, gauge, horizontal, vertical, progress indicator, temperature display, bar pointers, color-coded ranges, qualitative zones"
6,CartesianCharts,syncfusion-winui-cartesian-charts,SfCartesianChart,"chart, cartesian chart, column chart, line chart, bar chart, area chart, scatter chart, bubble chart, financial chart, stock chart, candlestick"
7,CircularCharts,syncfusion-winui-circular-charts,SfCircularChart,"circular chart, pie chart, doughnut chart, proportional data, legend, data labels, drill-down, explode, animation"
8,FunnelChart,syncfusion-winui-funnel-chart,SfFunnelChart,"funnel chart, sales pipeline, conversion funnel, process stages, flow visualization, proportional comparison"
9,PolarCharts,syncfusion-winui-polar-charts,SfPolarChart,"polar chart, radar chart, spider chart, multi-dimensional visualization, axis, data series, area, animation"
10,PyramidChart,syncfusion-winui-pyramid-chart,SfPyramidChart,"pyramid chart, hierarchical visualization, proportional data, stage-wise data, flow chart"
11,Kanban,syncfusion-winui-kanban-board,SfKanban,"kanban, kanban board, workflow visualization, task management, wip limits, swimlanes, drag-drop, card board"
12,Ribbon,syncfusion-winui-ribbon,SfRibbon,"ribbon, command interface, tabs, groups, quick access toolbar, office ui, button groups, gallery, backstage"
13,TreeView,syncfusion-winui-treeview,SfTreeView,"treeview, tree view, file explorer, hierarchical data, expandable nodes, nested structure, parent-child, selection"
14,AutoComplete,syncfusion-winui-autocomplete,SfAutoComplete,"autocomplete, searchable dropdown, filtered suggestions, multi-select tokens, typeahead, suggestions, filtering"
15,ComboBox,syncfusion-winui-combobox,SfComboBox,"combobox, combo box, single selection, multiple selection, filtering, grouping, custom templates, dropdown"
16,ColorPicker,syncfusion-winui-color-picker,SfColorPicker,"color picker, rgb, hsv, hsl, cmyk, gradient brushes, color selection, custom colors"
17,DropdownColorPalette,syncfusion-winui-dropdown-color-palette,SfDropdownColorPalette,"dropdown color palette, theme colors, standard colors, custom palettes, more colors dialog, color selection"
18,DropdownColorPicker,syncfusion-winui-dropdown-color-picker,SfDropdownColorPicker,"dropdown color picker, color editing, rgb, hsv, hsl, cmyk, dropdown customization, color selection"
19,ColorPalette,syncfusion-winui-color-palette,SfColorPalette,"color palette, swatch-based colors, recently used, custom colors, color selection, theme colors"
20,MaskedTextBox,syncfusion-winui-masked-textbox,SfMaskedTextBox,"masked textbox, phone numbers, date entry, pattern validation, regex, input mask, formatting"
21,NumberBox,syncfusion-winui-numberbox,SfNumberBox,"numberbox, number input, currency formatting, percentage, decimal formatting, value restriction, spin buttons"
22,SegmentedControl,syncfusion-winui-segmented-control,SfSegmentedControl,"segmented control, mutually exclusive selection, filter bar, tab-like navigation, button group"
23,Rating,syncfusion-winui-rating,SfRating,"rating, star rating, user feedback, precision modes, review system, half-star, readability"
24,Calendar,syncfusion-winui-calendar,SfCalendar,"calendar, date selection, single date, multiple dates, range selection, blackout dates, today highlight"
25,CalendarDatePicker,syncfusion-winui-calendar-date-picker,SfCalendarDatePicker,"calendar date picker, calendar dropdown, date selection, date restrictions, date validation"
26,CalendarDateRangePicker,syncfusion-winui-calendar-date-range-picker,SfCalendarDateRangePicker,"calendar date range picker, date range selection, preset ranges, blackout dates, start-end dates"
27,DatePicker,syncfusion-winui-date-picker,SfDatePicker,"date picker, date input, dropdown spinner, multiple calendar systems, localization, date restrictions"
28,TimePicker,syncfusion-winui-time-picker,SfTimePicker,"time picker, time selection, 12-hour format, 24-hour format, time restrictions, up-down button"
29,Scheduler,syncfusion-winui-scheduler,SfScheduler,"scheduler, appointment management, calendar views, recurring events, resource scheduling, drag-drop, editing"
30,Badge,syncfusion-winui-badge,SfBadge,"badge, notification badge, status indicator, unread count, counter badge, visual notification"
31,BusyIndicator,syncfusion-winui-busy-indicator,SfBusyIndicator,"busy indicator, loading indicator, progress animation, waiting screen, spinner, loading state"
32,Slider,syncfusion-winui-slider,SfSlider,"slider, range selector, numeric value, ticks, labels, single thumb, value indicator"
33,RangeSlider,syncfusion-winui-range-slider,SfRangeSlider,"range slider, dual thumb slider, range selection, price filter, dual range, interactive"
34,AIAssistView,syncfusion-winui-ai-assistview,SfAIAssistView,"ai assistant view, chatbot, ai chat interface, typing indicators, suggestions, conversation, streaming responses"
35,AvatarView,syncfusion-winui-avatar-view,SfAvatarView,"avatar view, user avatar, profile picture, initials, group avatar, user representation"
36,Shadow,syncfusion-winui-shadow,SfShadow,"shadow, drop shadow, visual depth, elevation effects, material design, layering"
37,Shimmer,syncfusion-winui-shimmer,SfShimmer,"shimmer, skeleton screen, loading placeholder, content loading, shimmer animation, loading state"
